GAGA ID	Species	Subfamily	Shortname	Final species name
GAGA-0001	Acromyrmex ameliae	Myrmicinae	Aame	Acromyrmex ameliae
GAGA-0002	Acromyrmex subterraneus	Myrmicinae	Acsu	Acromyrmex subterraneus
GAGA-0003	Acromyrmex lobicornis	Myrmicinae	Alob	Acromyrmex lobicornis
GAGA-0004	Messor barbarus	Myrmicinae	Mbar	Messor barbarus
GAGA-0014	Acromyrmex echinatior	Myrmicinae	Aech	Acromyrmex echinatior
GAGA-0020	Lasius flavus sp.2 (prev. umbratus)	Formicinae	Lfl2	Lasius flavus s2
GAGA-0024	Lasius flavus	Formicinae	Lfla	Lasius flavus s1
GAGA-0025	Megaponera analis	Ponerinae	Mana	Megaponera analis
GAGA-0026	Myrmecocystus cf. mendax	Formicinae	Mmen	Myrmecocystus cf. mendax
GAGA-0028	Myrmica rubra	Myrmicinae	Mrub	Myrmica rubra
GAGA-0055	Gigantiops destructor	Formicinae	Gdes	Gigantiops destructor
GAGA-0063	Neoponera goeldii	Ponerinae	Ngoe	Neoponera goeldii
GAGA-0074	Odontomachus hastatus	Ponerinae	Ohas	Odontomachus hastatus
GAGA-0080	Pheidole pallidula	Myrmicinae	Ppal	Pheidole pallidula
GAGA-0082	Pristomyrmex punctatus	Myrmicinae	Prpu	Pristomyrmex punctatus
GAGA-0083	Diacamma cf. indicum (prev. Diacamma sp.)	Ponerinae	Dind	Diacamma cf. indicum
GAGA-0084	Aphaenogaster subterranea	Myrmicinae	Apsu	Aphaenogaster subterranea
GAGA-0085	Tetramorium caespitum	Myrmicinae	Tcae	Tetramorium caespitum
GAGA-0087	Myrmica scabrinodis	Myrmicinae	Msca	Myrmica scabrinodis
GAGA-0090	Platythyrea punctata	Ponerinae	Plpu	Platythyrea punctata
GAGA-0098	Harpagoxenus sublaevis	Myrmicinae	Hsub	Harpagoxenus sublaevis
GAGA-0099	Leptothorax acervorum	Myrmicinae	Lace	Leptothorax acervorum
GAGA-0103	Myrmecina graminicola	Myrmicinae	Mgra	Myrmecina graminicola
GAGA-0106	Iberoformica subrufa	Formicinae	Isub	
GAGA-0109	Stenamma debile	Myrmicinae	Sdeb	Stenamma debile
GAGA-0114	Manica rubida	Myrmicinae	Maru	Manica rubida
GAGA-0165	Eutetramorium mocquerysi 	Myrmicinae	Emoc	Eutetramorium mocquerysi
GAGA-0177	Lasius niger	Formicinae	Lnig	Lasius niger
GAGA-0187	Plagiolepis pygmaea	Formicinae	Ppyg	Plagiolepis pygmaea
GAGA-0198	Paratrechina longicornis	Formicinae	Palo	Paratrechina longicornis
GAGA-0199	Anoplolepis gracilipes	Formicinae	Agra	Anoplolepis gracilipes
GAGA-0200	Camponotus japonicus	Formicinae	Cjap	Camponotus japonicus
GAGA-0220	Acromyrmex octospinosus	Myrmicinae	Aoct	Acromyrmex octospinosus
GAGA-0221	Camponotus fellah	Formicinae	Cfel	Camponotus fellah
GAGA-0222	Temnothorax rugatulus	Myrmicinae	Trug	Temnothorax rugatulus
GAGA-0223	Temnothorax longispinosus	Myrmicinae	Tlon	Temnothorax longispinosus
GAGA-0224	Temnothorax americanus	Myrmicinae	Tame	Temnothorax americanus
GAGA-0229	Cephalotes minutus	Myrmicinae	Cmin	Cephalotes minutus
GAGA-0231	Mayaponera constricta	Ponerinae	Mcon	
GAGA-0234	Typhlomyrmex rogenhoferi	Ectatomminae	Trog	Typhlomyrmex rogenhoferi
GAGA-0241	Hylomyrma cf. transversa	Myrmicinae	Htra	
GAGA-0245	Monomorium pharaonis	Myrmicinae	Mpha	Monomorium pharaonis
GAGA-0246	Pseudoneoponera rufipes	Ponerinae	Pruf	Pseudoneoponera rufipes
GAGA-0256	Acanthomyrmex cf. ferox	Myrmicinae	Afer	Acanthomyrmex ferox
GAGA-0266	Ectomomyrmex cf. javanus sp2 (prev. astatus)	Ponerinae	Ecfj	Ectomomyrmex cf. javanus
GAGA-0275	Euprenolepis procera	Formicinae	Epro	Euprenolepis procera
GAGA-0288	Temnothorax unifasciatus	Myrmicinae	Tuni	Temnothorax unifasciatus
GAGA-0300	Ectomomyrmex cf. javanus sp1	Ponerinae	Ejav	Ectomomyrmex javanus
GAGA-0301	Anochetus risii	Ponerinae	Aris	Anochetus risii
GAGA-0302	Ochetellus glaber	Dolichoderinae	Ogla	Ochetellus glaber
GAGA-0303	Harpegnathos venator	Ponerinae	Hven	Harpegnathos venator
GAGA-0304	Proformica sp. (prev. mongolica)	Formicinae	Pros	Proformica cf. mongolica
GAGA-0306	Gnamptogenys cf. bicolor	Ectatomminae	Gbic	Stictoponera bicolor
GAGA-0307	Hypoponera opacior GAGA-307-26	Ponerinae	Hopa	Hypoponera opacior
GAGA-0323	ABANDONED Hypoponera opacior	Ponerinae	Hopa	
GAGA-0328	Carebara diversa	Myrmicinae	Cdiv	Carebara diversa
GAGA-0330	Crematogaster cf. rogenhoferi	Myrmicinae	Crog	Crematogaster cf. rogenhoferi
GAGA-0331	Carebara bengalensis	Myrmicinae	Csp2	Carebara sp. s2
GAGA-0332	Pseudolasius sp. (prev. similus)	Formicinae	Pssp	Pseudolasius sp.
GAGA-0333	Tetramorium bicarinatum	Myrmicinae	Tbic	Tetramorium bicarinatum
GAGA-0334	Rossomyrmex cf. quandratinodum	Formicinae	Rqua	Rossomyrmex quandratinodus
GAGA-0335	Meranoplus bicolor	Myrmicinae	Mbic	Meranoplus bicolor
GAGA-0336	Oecophylla smaragdina	Formicinae	Osma	Oecophylla smaragdina
GAGA-0337	Tapinoma melanocephalum	Dolichoderinae	Tmel	Tapinoma melanocephalum
