Node	Leafs	Name	
1	GAGA-0392	Leptanilla sp.	
2	GAGA-0025	Megaponera analis	
3	GAGA-0352	Leptogenys diminuta	
4	GAGA-0380	Leptogenys kitteli	
5	GAGA-0387	Leptogenys cf. binghamii	
6	GAGA-0386	Euponera pilosior	
7	GAGA-0408	Buniapone amblyops	
8	GAGA-0074	Odontomachus hastatus	
9	NCBI-0011	Odontomachus brunneus	
10	GAGA-0353	Odontomachus cf. monticola	
11	GAGA-0301	Anochetus risii	
12	GAGA-0246	Pseudoneoponera rufipes	
13	GAGA-0303	Harpegnathos venator	
14	NCBI-0009	Harpegnathos saltator	
15	GAGA-0307	Hypoponera opacior	
16	GAGA-0063	Neoponera goeldii	
17	NCBI-0007	Dinoponera quadriceps	
18	GAGA-0083	Diacamma cf. indicum	
19	GAGA-0351	Diacamma rugosum	
20	GAGA-0266	Ectomomyrmex cf. javanus	
21	GAGA-0300	Ectomomyrmex javanus	
22	GAGA-0090	Platythyrea punctata	
23	GAGA-0389	Proceratium itoi	
24	GAGA-0537	Proceratium cf. bruelheidei	
25	GAGA-0580	Probolomyrmex sp.	
26	GAGA-0535	Discothyrea kamiteta	
27	GAGA-0391	Stigmatomma sp.	
28	GAGA-0404	Mystrium camillae	
29	GAGA-0536	Prionopelta kraepelini	
30	GAGA-0552	Paraponera clavata	
31	GAGA-0379	Cerapachys sulcinodis	
32	NCBI-0001	Ooceraea biroi	
33	GAGA-0577	Parasyscia sp.	
34	GAGA-0534	Dorylus orientalis	
35	GAGA-0302	Ochetellus glaber	
36	GAGA-0363	Iridomyrmex anceps	
37	NCBI-0010	Linepithema humile	
38	GAGA-0337	Tapinoma melanocephalum	
39	GAGA-0340	Tapinoma cf. melanocephalum	
40	GAGA-0528	Liometopum microcephalum	
41	GAGA-0343	Pseudomyrmex spinicola	
42	GAGA-0365	Tetraponera rufonigra	
43	GAGA-0517	Myrmecia pilosula	
44	GAGA-0521	Myrmecia croslandi 2n2	
45	GAGA-0522	Myrmecia croslandi 2n4	
46	GAGA-0020	Lasius flavus s2	
47	GAGA-0024	Lasius flavus s1	
48	GAGA-0177	Lasius niger	
49	GAGA-0532	Lasius alienus	
50	GAGA-0364	Lasius cf. spathepus	
51	GAGA-0491	Lasius fuliginosus s2	
52	GAGA-0524	Lasius fuliginosus s1	
53	GAGA-0366	Lasius neglectus	
54	GAGA-0026	Myrmecocystus cf. mendax	
55	GAGA-0198	Paratrechina longicornis	
56	GAGA-0275	Euprenolepis procera	
57	GAGA-0332	Pseudolasius sp.	
58	GAGA-0341	Nylanderia fulva	
59	GAGA-0055	Gigantiops destructor	
60	GAGA-0406	Myrmoteras binghamii	
61	GAGA-0304	Proformica cf. mongolica	
62	GAGA-0334	Rossomyrmex quandratinodus	
63	GAGA-0494	Rossomyrmex minuchae	
64	GAGA-0354	Cataglyphis aenescens	
65	GAGA-0350	Formica cf. japonica	
66	GAGA-0359	Formica japonica	
67	GAGA-0485	Formica sanguinea	
68	NCBI-0008	Formica exsecta	
69	GAGA-0495	Formica fusca	
70	OUT-0001	Formica selysi	
71	OUT-0002	Formica cinerea	
72	GAGA-0502	Iberoformica subrufa	
73	GAGA-0200	Camponotus japonicus	
74	GAGA-0221	Camponotus fellah	
75	GAGA-0361	Camponotus fedtschenkoi	
76	GAGA-0362	Camponotus sp.	
77	NCBI-0005	Camponotus floridanus	
78	GAGA-0396	Camponotus singularis	
79	GAGA-0374	Polyrhachis illaudata	
80	GAGA-0360	Colobopsis minus	
81	GAGA-0336	Oecophylla smaragdina	
82	GAGA-0187	Plagiolepis pygmaea	
83	GAGA-0338	Lepisiota rothneyi	
84	GAGA-0199	Anoplolepis gracilipes	
85	GAGA-0234	Typhlomyrmex rogenhoferi	
86	GAGA-0306	Stictoponera bicolor	
87	GAGA-0028	Myrmica rubra	
88	GAGA-0087	Myrmica scabrinodis	
89	GAGA-0401	Myrmica angulata	
90	GAGA-0114	Manica rubida	
91	NCBI-0012	Pogonomyrmex barbatus	
92	GAGA-0004	Messor barbarus	
93	GAGA-0413	Messor capitatus	
94	GAGA-0084	Aphaenogaster subterranea	
95	GAGA-0356	Aphaenogaster exasperata	
96	GAGA-0531	Aphaenogaster smythiesii	
97	GAGA-0503	Oxyopomyrmex cf. saulcyi	
98	GAGA-0505	Goniomma hispanicum	
99	GAGA-0109	Stenamma debile	
100	GAGA-0082	Pristomyrmex punctatus	
101	GAGA-0103	Myrmecina graminicola	
102	GAGA-0256	Acanthomyrmex ferox	
103	GAGA-0098	Harpagoxenus sublaevis	
104	GAGA-0099	Leptothorax acervorum	
105	GAGA-0463	Formicoxenus nitidulus	
106	GAGA-0222	Temnothorax rugatulus	
107	GAGA-0223	Temnothorax longispinosus	
108	GAGA-0512	Temnothorax pilagens	
109	GAGA-0513	Temnothorax ambiguus	
110	GAGA-0224	Temnothorax americanus	
111	GAGA-0511	Temnothorax ravouxi	
112	GAGA-0288	Temnothorax unifasciatus	
113	GAGA-0510	Temnothorax nylanderi	
114	GAGA-0407	Kartidris nyos	
115	GAGA-0165	Eutetramorium mocquerysi	
116	NCBI-0013	Vollenhovia emeryi	
117	GAGA-0330	Crematogaster cf. rogenhoferi	
118	GAGA-0393	Crematogaster cf. osakensis	
119	GAGA-0395	Crematogaster osakensis	
120	GAGA-0335	Meranoplus bicolor	
121	GAGA-0328	Carebara diversa	
