GAGA-ID	Species	Description	Download	Output name	Tissue	Caste	Note	SRA accession	Bioproject	BioSample	Assay Type	AvgSpotLen	Bases	Bytes	Center Name	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	Sample Name	SRA Study	GEO_Accession	source_name	genotype/variation	social_status	Strain	BIOME	Collection_date	dev_stage	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	health_state	Isolate	Library Name	sex	tissue_type																												
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep1	Brain	Gamergate	"Queenless, worker monomorphic; all ants have worker phenotypes; one of the workers is inseminated by an unrelated male and functions as queen (gamergate); non-reproductive workers form a dominance hierarchy and one of them mates and replaces the gamergate when she dies"	SRR1519119	PRJNA255520	SAMN02924096	RNA-Seq	200	6.76 G	4.05 Gb	GEO	SRX656304	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438838	SRP044613	GSM1438838	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep2	Brain	Gamergate		SRR1519120	PRJNA255520	SAMN02924097	RNA-Seq	200	5.95 G	3.65 Gb	GEO	SRX656305	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438839	SRP044613	GSM1438839	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep3	Brain	Gamergate		SRR1519121	PRJNA255520	SAMN02924098	RNA-Seq	200	5.79 G	3.41 Gb	GEO	SRX656306	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438840	SRP044613	GSM1438840	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep4	Brain	Gamergate		SRR1519122	PRJNA255520	SAMN02924099	RNA-Seq	200	6.08 G	3.57 Gb	GEO	SRX656307	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438841	SRP044613	GSM1438841	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep5	Brain	Gamergate		SRR1519123	PRJNA255520	SAMN02924100	RNA-Seq	200	5.35 G	3.17 Gb	GEO	SRX656308	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438842	SRP044613	GSM1438842	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Reproductive worker (gamergate) brain	X	NCBI-0007_Dqua_gamergate_brain_rep6	Brain	Gamergate		SRR1519124	PRJNA255520	SAMN02924101	RNA-Seq	200	5.95 G	3.62 Gb	GEO	SRX656309	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438843	SRP044613	GSM1438843	adult brain	WT	reproductive																																								
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep1	Brain	Worker		SRR1519125	PRJNA255520	SAMN02924102	RNA-Seq	200	7.18 G	4.30 Gb	GEO	SRX656310	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438844	SRP044613	GSM1438844	adult brain	WT	non-reproductive																																								
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep2	Brain	Worker		SRR1519126	PRJNA255520	SAMN02924103	RNA-Seq	200	5.62 G	3.32 Gb	GEO	SRX656311	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438845	SRP044613	GSM1438845	adult brain	WT	non-reproductive																																								
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep3	Brain	Worker		SRR1519127	PRJNA255520	SAMN02924104	RNA-Seq	200	6.55 G	4.04 Gb	GEO	SRX656312	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438846	SRP044613	GSM1438846	adult brain	WT	non-reproductive																																								
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep4	Brain	Worker		SRR1519128	PRJNA255520	SAMN02924105	RNA-Seq	200	5.85 G	3.45 Gb	GEO	SRX656313	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438847	SRP044613	GSM1438847	adult brain	WT	non-reproductive																																								
