TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Acanthognathus	Myrmicinae	Attini	Acanthognathus		Mayr, 1887	Mayr	1887	Acanthognathus ocellatus		7	Present	https://www.antwiki.org/wiki/Acanthognathus
Acanthomyops	Formicinae	Lasiini	Lasius	Acanthomyops	Mayr, 1862	Mayr	1862	Formica clavigera	Lasius claviger		Present	https://www.antwiki.org/wiki/Acanthomyops
Acanthomyrmex	Myrmicinae	Crematogastrini	Acanthomyrmex		Emery, 1893	Emery	1893	Acanthomyrmex luciolae		19	Present	https://www.antwiki.org/wiki/Acanthomyrmex
Acanthoponera	Heteroponerinae		Acanthoponera		Mayr, 1862	Mayr	1862	Ponera mucronata	Acanthoponera mucronata	4	Present	https://www.antwiki.org/wiki/Acanthoponera
Acanthostichus	Dorylinae		Acanthostichus		Mayr, 1887	Mayr	1887	Typhlopone serratula	Acanthostichus serratulus	23	Present	https://www.antwiki.org/wiki/Acanthostichus
Acromyrmex	Myrmicinae	Attini	Acromyrmex		Mayr, 1865	Mayr	1865	Formica hystrix	Acromyrmex hystrix	55	Present	https://www.antwiki.org/wiki/Acromyrmex
Acromyrmex (subgenus)	Myrmicinae	Attini	Acromyrmex	Acromyrmex	Mayr, 1865	Mayr	1865	Formica hystrix	Acromyrmex hystrix	55		https://www.antwiki.org/wiki/Acromyrmex (subgenus)
Acropyga	Formicinae	Plagiolepidini	Acropyga		Roger, 1862	Roger	1862	Acropyga acutiventris		41	Present	https://www.antwiki.org/wiki/Acropyga
Adelomyrmex	Myrmicinae	Solenopsidini	Adelomyrmex		Emery, 1897	Emery	1897	Adelomyrmex biroi		31	Present	https://www.antwiki.org/wiki/Adelomyrmex
Adetomyrma	Amblyoponinae	Amblyoponini	Adetomyrma		Ward, 1994	Ward	1994	Adetomyrma venatrix		9	Present	https://www.antwiki.org/wiki/Adetomyrma
Adlerzia	Myrmicinae	Crematogastrini	Adlerzia		Forel, 1902	Forel	1902	Monomorium (Adlerzia) froggatti	Adlerzia froggatti	1	Present	https://www.antwiki.org/wiki/Adlerzia
Aenictogiton	Dorylinae		Aenictogiton		Emery, 1901	Emery	1901	Aenictogiton fossiceps		7	Present	https://www.antwiki.org/wiki/Aenictogiton
Aenictus	Dorylinae		Aenictus		Shuckard, 1840	Shuckard	1840	Aenictus ambiguus		217	Present	https://www.antwiki.org/wiki/Aenictus
Agraulomyrmex	Formicinae	Plagiolepidini	Agraulomyrmex		Prins, 1983	Prins	1983	Agraulomyrmex meridionalis		2	Present	https://www.antwiki.org/wiki/Agraulomyrmex
Alloformica	Formicinae	Formicini	Alloformica		Dlussky, 1969	Dlussky	1969	Formica aberrans	Alloformica aberrans	4	Present	https://www.antwiki.org/wiki/Alloformica
Allomerus	Myrmicinae	Attini	Allomerus		Mayr, 1878	Mayr	1878	Allomerus decemarticulatus		8	Present	https://www.antwiki.org/wiki/Allomerus
Amblyopone	Amblyoponinae	Amblyoponini	Amblyopone		Erichson, 1842	Erichson	1842	Amblyopone australis		10	Present	https://www.antwiki.org/wiki/Amblyopone
