tribe	color
Amblyoponini	#7099DA
Attini	#CA67DB
Camponotini	#D38CD3
Crematogastrini	#A9E9AD
Ectatommini	#E03EE1
Formicini	#94F235
Gigantiopini	#D8A7B9
Lasiini	#D8E3BC
Leptanillini	#DCDDE3
Leptomyrmecini	#7D8987
Myrmeciini	#6F3EE1
Myrmicini	#79B9DF
Myrmoteratini	#809E53
Oecophyllini	#5CE69A
Plagiolepidini	#DE6B4D
Platythyreini	#DCE246
Pogonomyrmecini	#9DE0E0
Ponerini	#E355A0
Probolomyrmecini	#D3BAE9
Proceratiini	#DFB58A
Solenopsidini	#D5747F
Stenammini	#D8E788
Tapinomini	#5FECD6
tr. Dorylinae	#7B6BCC
tr. Paraponerinae	#86DE5E
tr. Pseudomyrmecinae	#67B5A2
Typhlomyrmecini	#E0AF46
